Year,Age,TotalRemovals,LeakageHigh,LeakageLow,NetRemovalsMid,NetRemovalsHighEmission,NetRemovalsLowEmission,RemovalRateMid,RemovalRateHigh,RemovalRateLow
2024,1,202.93498327581077,10.146749163790538,4.058699665516215,158.2892869551324,135.96643879479322,178.58278528271347,158.2892869551324,135.96643879479322,178.58278528271347
2025,2,17771.21904640751,888.5609523203756,355.4243809281502,13861.550856197859,11906.71676109303,15638.672760838608,13703.261569242726,11770.750322298238,15460.089975555895
2026,3,88283.81148274436,4414.190574137218,1765.6762296548873,68861.37295654061,59150.153693438726,77689.75410481505,54999.82210034275,47243.43693234569,62051.08134397644
2027,4,159733.89720611606,7986.694860305804,3194.677944122321,124592.43982077052,107021.71112809777,140565.82954138215,55731.06686422991,47871.557434659044,62876.0754365671
2028,5,272179.0352321977,0,0,217743.2281857582,195968.90536718233,239517.55100433397,93150.78836498767,88947.19423908457,98951.72146295183
2029,6,392063.7058658736,0,0,313650.9646926989,282285.868223429,345016.0611619688,95907.73650694071,86316.96285624668,105498.51015763482
2030,7,519536.3761844167,0,0,415629.1009475333,374066.19085278007,457192.0110422867,101978.13625483442,91780.32262935105,112175.9498803179
2031,8,553267.6079542324,0,0,442614.0863633859,398352.6777270473,486875.4949997245,26984.98541585257,24286.486874267226,29683.4839574378
2032,9,587648.6805246803,0,0,470118.94441974425,423107.0499777698,517130.83886171866,27504.858056358353,24754.37225072249,30255.34386199416
2033,10,622633.0337023317,0,0,498106.4269618654,448295.78426567884,547917.069658052,27987.482542121143,25188.734287909057,30786.230796333286
2034,11,658174.8338320926,0,0,526539.8670656742,473885.88035910676,579193.8537722415,28433.440103808767,25590.096093427914,31276.784114189562
2035,12,694229.0775161673,0,0,555383.2620129337,499844.93581164046,610921.5882142272,28843.39494725957,25959.055452533707,31727.734441985725
2036,13,730751.6809134833,0,0,584601.3447307865,526141.2102577079,643061.4792038652,29218.082717852783,26296.2744460674,32139.890989637934
2037,14,767699.5559350097,0,0,614159.6447480078,552743.680273207,675575.6092228085,29558.30001722125,26602.47001549916,32514.13001894334
2038,15,805030.674543681,0,0,644024.5396349448,579622.0856714502,708426.9935984393,29864.894886936992,26878.405398243223,32851.38437563076
2039,16,842704.122269491,0,0,674163.2978155927,606746.9680340334,741579.627597152,30138.758180647972,27124.882362583186,33152.63399871276
2040,17,880680.14196005,0,0,704544.11356804,634089.7022112361,774998.524924844,30380.815752447234,27342.734177202685,33418.897327692015
2041,18,918920.1687037593,0,0,735136.1349630074,661622.5214667066,808649.7484593082,30592.02139496745,27532.81925547053,33651.22353446414
2042,19,957386.856786222,0,0,765909.4854289775,689318.5368860797,842500.4339718753,30773.350465970114,27696.015419373056,33850.68551256717
2043,20,996044.0994699453,0,0,796835.2795759562,717151.7516183606,876518.8075335519,30925.794146978646,27833.214732280932,34018.37356167659
2044,21,1034857.0423223907,0,0,827885.6338579125,745097.0704721214,910674.1972437039,31050.35428195633,27945.31885376072,34155.38971015194
2045,22,1073792.0907574717,0,0,859033.6726059774,773130.3053453796,944937.0398665752,31148.038748064893,28033.234873258276,34262.84262287128
2046,23,1112816.9124003323,0,0,890253.5299202659,801228.1769282392,979278.8829122925,31219.8573142885,28097.871582859545,34341.84304571734
2047,24,1151900.4348342638,0,0,921520.3478674111,829368.31308067,1013672.3826541521,31266.817947145202,28140.136152430787,34393.49974185962
2048,25,1191012.8392415969,0,0,952810.2713932776,857529.2442539498,1048091.2985326053,31289.92352586647,28160.93117327988,34418.915878453176
2049,26,1230125.5504070553,0,0,984100.4403256443,885690.39629308,1082510.4843582087,31290.168932366767,28161.152039130102,34419.18582560343
2050,27,1269211.2235120507,0,0,1015368.9788096407,913832.0809286765,1116905.8766906047,31268.53848399641,28141.684635596583,34395.392332396004
2051,28,1308243.7281115213,0,0,1046594.9824892171,941935.4842402954,1151254.4807381388,31226.00367957633,28103.403311618837,34348.604047534056
2052,29,1347198.129650904,0,0,1077758.5037207233,969982.653348651,1185534.3540927956,31163.521231506253,28047.16910835565,34279.873354656855
2053,30,1386050.6688494622,0,0,1108840.5350795698,997956.4815716125,1219724.5885875267,31082.031358846463,27973.828222961514,34190.23449473106
2054,31,1424778.7392472848,0,0,1139822.9913978279,1025840.6922580451,1253805.2905376107,30982.456318258075,27884.210686432547,34080.70195008395
2055,32,1463360.8631866253,0,0,1170688.6905493003,1053619.82149437,1287757.55960423,30865.69915147242,27779.129236324923,33952.269066619454
2056,33,1501776.6664736886,0,0,1201421.3331789507,1081279.199861056,1321563.466496846,30732.64262965042,27659.378366685938,33805.906892615836
2057,34,1540006.8519443616,0,0,1232005.4815554894,1108804.9333999401,1355206.029711038,30584.14837653865,27525.733538884204,33642.56321419217
2058,35,1578033.1721365522,0,0,1262426.5377092417,1136183.8839383177,1388669.1914801658,30421.056153752375,27378.95053837751,33463.161769127706
2059,36,1615838.4012526227,0,0,1292670.7210020982,1163403.6489018884,1421937.793102308,30244.18329285644,27219.76496357075,33268.60162214213
2060,37,1653406.3065777605,0,0,1322725.0452622082,1190452.5407359875,1454997.5497884292,30054.324260110036,27048.89183409908,33059.756686121225
2061,38,1690721.6195039037,0,0,1352577.295603123,1217319.5660428107,1487835.0251634354,29852.25034091482,26867.025306823198,32837.47537500621
2062,39,1727770.0062939045,0,0,1382216.0050351233,1243994.404531611,1520437.605538636,29638.709432000294,26674.83848880022,32602.580375200603
2063,40,1764538.038706922,0,0,1411630.4309655374,1270467.387868984,1552793.4740620914,29414.425930414116,26472.983337373007,32355.868523455458
2064,41,1801013.1645934181,0,0,1440810.5316747343,1296729.4785072608,1584891.5848422078,29180.10070919688,26262.090638276888,32098.110780116403
