age,CR  Prediction,RF Max,RF Mean,RF Min
0,20.042,,,
1,21.523,,,
2,23.041,,,
3,24.593,,,
4,26.177,,,
5,27.792,34,22.32,15
6,29.434,,,
7,31.103,,,
8,32.795,,,
9,34.508,,,
10,36.242,36,31.48,24
11,37.993,,,
12,39.76,,,
13,41.54,,,
14,43.333,,,
15,45.136,52,46.28,40
16,46.948,,,
17,48.767,,,
18,50.591,,,
19,52.419,,,
20,54.25,71,62.22,50
21,56.082,,,
22,57.913,,,
23,59.743,,,
24,61.571,,,
25,63.394,82,69.89,59
26,65.212,,,
27,67.025,,,
28,68.83,,,
29,70.627,,,
30,72.415,80,71.76,60
31,74.194,,,
32,75.961,,,
33,77.718,,,
34,79.462,,,
35,81.194,98,78.12,56
36,82.912,,,
37,84.616,,,
38,86.306,,,
39,87.981,,,
40,89.64,99,91.08,77
41,91.284,,,
42,92.911,,,
43,94.522,,,
44,96.115,,,
45,97.691,112,99.7,88
46,99.25,,,
47,100.791,,,
48,102.313,,,
49,103.818,,,
50,105.304,110,98.97,87
51,106.772,,,
52,108.22,,,
53,109.65,,,
54,111.062,,,
55,112.454,126,106.56,91
56,113.827,,,
57,115.182,,,
58,116.517,,,
59,117.833,,,
60,119.131,138,104.75,84
61,120.409,,,
62,121.669,,,
63,122.91,,,
64,124.132,,,
65,125.335,138,128.83,113
66,126.52,,,
67,127.686,,,
68,128.834,,,
69,129.963,,,
70,131.075,165,153.03,136
71,132.168,,,
72,133.244,,,
73,134.302,,,
74,135.343,,,
75,136.366,178,151,127
76,137.372,,,
77,138.361,,,
78,139.333,,,
79,140.288,,,
80,141.227,151,133.52,112
81,142.15,,,
82,143.056,,,
83,143.947,,,
84,144.821,,,
85,145.681,156,139.47,110
86,146.525,,,
87,147.353,,,
88,148.167,,,
89,148.966,,,
90,149.751,175,151.65,135
91,150.521,,,
92,151.277,,,
93,152.019,,,
94,152.748,,,
95,153.462,176,157.24,139
96,154.164,,,
97,154.852,,,
98,155.528,,,
99,156.19,,,
100,156.841,209,142.51,97
