Year,,Cost,
Year,Year,Cost per VCU,
2026,0,$15.00,** Locked in VCU Rate until ROI Met
2027,1,$15.00,
2028,2,$15.00,
2029,3,$15.00,
2030,4,$15.00,
2031,5,$15.00,
2032,6,$15.00,
2033,7,$15.30,** Year ROI is met
2034,8,$15.61,
2035,9,$15.92,
2036,10,$16.24,
2037,11,$16.56,
2038,12,$16.89,
2039,13,$17.23,
2040,14,$17.57,
2041,15,$17.93,
2042,16,$18.28,
2043,17,$18.65,
2044,18,$19.02,
2045,19,$19.40,
2046,20,$19.79,
2047,21,$20.19,
2048,22,$20.59,
2049,23,$21.00,
2050,24,$21.42,
2051,25,$21.85,
2052,26,$22.29,
2053,27,$22.73,
2054,28,$23.19,
2055,29,$23.65,
2056,30,$24.13,
2057,31,$24.61,
2058,32,$25.10,
2059,33,$25.60,
2060,34,$26.12,
2061,35,$26.64,
2062,36,$27.17,
2063,37,$27.71,
2064,38,$28.27,
2065,39,$28.83,
2066,40,$29.41,
Years,40,$20.49,
,,,
CPI Average,,2.00%,
