Year,t,NetRemovalsMin,NetRemovalsMax,NetRemovalsRobinson,RemovalRateMin,RemovalRateMax,RemovalRateRobinson
2024,0,102104.96611826526,167628.1076408709,8603661.707837934,NA,NA,NA
2025,1,186426.98192338512,306061.530413902,8773191.750438254,84322.01580511985,138433.4227730311,169530.04260032065
2026,2,279135.8369331026,458263.82299221377,8941191.125048134,92708.85500971746,152202.29257831175,167999.37460988015
2027,3,414529.1617339359,680542.2065654637,9107640.043617308,135393.3248008333,222278.3835732499,166448.91856917366
2028,4,423684.3560702009,695572.5029361122,9272521.221780023,9155.194336265035,15030.296370648546,164881.17816271447
2029,5,432762.9411950383,710477.0281750741,9435819.705545567,9078.58512483741,14904.525238961913,163298.48376554437
2030,6,441763.6840174146,725253.7578880005,9597522.710971277,9000.742822376254,14776.729712926317,161703.00542571023
2031,7,450685.47344437585,739900.8679676375,9757619.475614734,8921.789426961273,14647.11007963703,160096.7646434568
2032,8,459527.313196584,754416.7227989268,9916101.120701857,8841.83975220815,14515.854831289267,158481.64508712292
2033,9,468288.31507828494,768799.8642101549,10072960.523068007,8761.00188170094,14383.141411228105,156859.40236615017
2034,10,476967.6926666234,783049.001112552,10228192.196033098,8679.377588338451,14249.13690239715,155231.67296509072
2035,11,485564.7553885673,797162.9997762422,10381792.17846135,8597.06272194389,14113.998663690174,153599.9824282527
2036,12,494078.9029566675,811140.8746952995,10533757.931334745,8514.14756810019,13977.874919057358,151965.75287339464
2037,13,502509.62013751443,824981.7799990035,10684088.24123722,8430.717180846957,13840.90530370397,150330.30990247428
2038,14,510856.47182910296,838685.0013702277,10832783.130206607,8346.851691588527,13703.22137122415,148694.88896938786
2039,15,519119.09842539276,852249.9484353386,10979843.771463685,8262.626596289803,13564.9470651109,147060.64125707746
2040,16,527297.2114482456,865676.1475930384,11125272.410574384,8178.113022852805,13426.199157699826,145428.6391106993
2041,17,535390.5894285813,878963.2352523649,11269072.291641891,8093.377980335732,13287.087659326498,143799.88106750697
2042,18,543399.0740201077,892110.9514525125,11411247.58816211,8008.484591526445,13147.716200147639,142175.29652021825
2043,19,551322.5663303407,905119.1338393803,11551803.338208247,7923.4923102329485,13008.182386867818,140555.75004613772
2044,20,559161.0234548481,917987.7119757597,11690745.38363919,7838.457124507404,12868.578136379365,138942.04543094337
2045,21,566914.4552017607,930716.7019638881,11828080.313052569,7753.4317469126545,12728.989988128422,137334.92941337824
2046,22,574582.9209945968,943306.2013607438,11963815.408226144,7668.465792836039,12589.49939685571,135735.09517357498
2047,23,582166.5269423546,955756.3843679472,12097958.59381267,7583.605947757838,12450.183007203392,134143.185586527
2048,24,589665.423066648,968067.4972794852,12230518.39007169,7498.896124293329,12311.112911537988,132559.79625901952
2049,25,597079.8006764229,980239.8541717241,12361503.868439155,7414.377609774936,12172.356892238837,130985.47836746462
2050,26,604409.8898814658,992273.8328212725,12490924.609751014,7330.089205042925,12033.978649548488,129420.74131185934
2051,27,611655.9572365494,1004169.8708373285,12618790.664950892,7246.0673550835345,11896.038016055943,127866.05519987829
2052,28,618818.3035086305,1015928.4619960285,12745112.518124739,7162.346272081137,11758.59115870006,126321.85317384638
2053,29,625897.2615600366,1027550.1527652303,12869901.051716931,7078.95805140608,11621.690769201727,124788.53359219246
2054,30,632893.1943410633,1039035.539008911,12993167.513792772,6995.932781026699,11485.386243680725,123266.46207584068
2055,31,639806.4929858432,1050385.2628611121,13114923.48722203,6913.2986447799485,11349.723852201132,121755.97342925891
2056,32,646637.5750057534,1061600.0097600122,13235180.860667158,6831.082019910216,11214.746898900019,120257.37344512716
2057,33,653386.8825750025,1072680.5056333377,13353951.801267438,6749.3075692490675,11080.495873325504,118770.94060027972
2058,34,660054.8809033851,1083627.514226873,13471248.728918325,6667.998328382615,10947.008593535284,117296.92765088752
2059,35,666642.0566915076,1094441.834568371,13587084.292051759,6587.175788122462,10814.320341498125,115835.56313343346
2060,36,673148.9166640849,1105124.298559631,13701471.344829347,6506.859972577309,10682.463991259923,114387.05277758837
2061,37,679575.9861771765,1115675.7686899682,13814422.925666492,6427.069513091585,10551.47013033717,112951.58083714545
2062,38,685923.8078954958,1126097.1358647144,13925952.237010695,6347.821718319319,10421.367174746236,111529.31134420261
2063,39,692192.940536134,1136389.3173427687,14036072.626302056,6269.132640638156,10292.181478054263,110120.38929136097
2064,40,698383.9576752891,1146553.2547775724,14144797.56804882,6191.017139155185,10163.937434803694,108724.94174676389
